""	"All Nightmare Long Tab by Metallica - E-Chords"	"cifra/idmusica/132954/keyb/true.htm"
""	"And Justice For All Tab by Metallica - E-Chords"	"cifra/idmusica/16237/keyb/true.htm"
"F#m E"	"Breadfan Tab by Metallica - E-Chords"	"cifra/idmusica/16242/keyb/true.htm"
"Em C Em C Em C Em C Em C Em C Em C Em C G F# G F# Em C D F G Em C D F G Em C D F G Em C D B7 Em C Em C Em C Em C Em C Em C Em C Em C Em C Em C Em C Em C G F# G F# Em C D F G Em C D F G Em C D F G Em C D B7 Em C Em C Em C Em C Em F D Em G F Em F D Em Em F D Em G F Em F D Em Em C Em C Em C Em C Em C Em C Em C Em C G F# G F# Em C D F G Em C D F G Em C D F G Em C D B7 Em C Em C Em"	"Creeping Death Acoustic Tab by Metallica - E-Chords"	"cifra/idmusica/140332/keyb/true.htm"
"Eb D"	"Damage Case Tab by Metallica - E-Chords"	"cifra/idmusica/148769/keyb/true.htm"
"B5 G5 F#5 B5 G5 F#5 B5 G5 F#5 B5 B5 B5 G5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 B5 G5 F#5 B5 G5 F#5 B5 B5 E5 G5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 D5 C#5 B5 G5 F#5 B5 G5 F#5 E5 B5 E5 G5 B5"	"Die die my darling Tab by Metallica - E-Chords"	"cifra/idmusica/9775/keyb/true.htm"
"E5 A5 E5 E5 G5 F#5 G5 F#5 E5 F5 F5 G5 F#5 G5 F#5 E5 F5 F5 G5 F#5 G5 F#5 F#5 B5 F#5 B5 F#5 B5 E5 F#5 B5 E5 G5 F#5 G5 F#5 E5 E5 F5 F5 G5 F#5 G5 F#5 E5 F5 F5 G5 F#5 B5 F#5 B5 F#5 B5 E5 F#5 B5 E5 G5 F#5 G5 F#5 E5 E5 G5 F#5 E5 G5 F#5 G5 F#5 F#5 B5 F#5 B5 F#5 B5 E5 F#5 B5 E5 E5 E F#5 F#5 B5 F#5 B5 F#5 B5 E5 F#5 B5 E5 F#5 B5 F#5 B5 F#5 B5 E5 F#5 B5 E5 G5 F#5 G5 F#5 E5 E5 E5 G5 E F5"	"Enter Sandman Tab by Metallica - E-Chords"	"cifra/idmusica/16249/keyb/true.htm"
""	"Enter Sandman By Metallica Tab by Metallica - E-Chords"	"cifra/idmusica/147593/keyb/true.htm"
"Bm Bm/A Bm A/C# Bm Bm/A Bm A/C# Bm Bm/A Bm A/C# Bm Bm/A Bm A/C# F6 E/G# E/B Am C G Em Am C G Em Am C G Em Am C G Em Am C G Em Am C G E A C A D5 E5 C5 A C G#5 F#5 E A C A D5 E5 C5 A C G#5 F#5 E Am C G Em Am C G Em Am C G Em Am C G E A C A D5 E5 C5 A C G#5 F#5 E A C A D5 E5 C5 A C G#5 F#5 E D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 D5 E5 D5 E5 G5 F#5 D5 E5 G5 F#5 D A5 G5 A5 B5 G5 B5 A5 B5 A5 G5 A5 A5 B5 A5 G5"	"Fade To Black Tab by Metallica - E-Chords"	"cifra/idmusica/16251/keyb/true.htm"
""	"Fade to black(ver.3) Tab by Metallica - E-Chords"	"cifra/idmusica/83006/keyb/true.htm"
"E5 G5 A5 G5 A5 G5 A5 G5 A5 E5 E5 G5 E5 E5 B5 Bb5 A5 E5 E5 G5 E5 E5 B5 Bb5 A5 E5 E5 A5 G5 A5 E5 A5 C D E5 E5 E5 A5 E5 E5 G5 E5 G5 E5 G5 G5 A5 G5 A5 E5 G5 E5 E5 B5 Bb5 A5 E5 G5 E5 E5 B5 Bb5 A5 E5 E5 A5 G5 A5 E5 A5 C D E5 E5 E5 A5 E5 E5 E5 E5 A5 E5 E5 A5 G5 A5 E5 A5 C D E5 E5 E5 A5 E5 E5 A5"	"Fuel Tab by Metallica - E-Chords"	"cifra/idmusica/16255/keyb/true.htm"
"Dm Dm2 Dm Dm4 Dm Dm2 Dm2 Dm C Am"	"Mama Said Tab by Metallica - E-Chords"	"cifra/idmusica/16263/keyb/true.htm"
"Dm C Ami Dm C Ami G Dm C Ami G Dm C Ami G Dm C B G Ami Dm C Ami G Dm C Ami G Dm C Ami G Dm C B G Ami 2×"	"Mama said (obkukane Z concert) Tab by Metallica - E-Chords"	"cifra/idmusica/86463/keyb/true.htm"
"B D C# C"	"Master of puppets intro Tab by Metallica - E-Chords"	"cifra/idmusica/93654/keyb/true.htm"
"Dm/A A5 Dm/A A5 Dm/A Am Dm/A Am Dm/A Dm/A Am Dm/A Am Dm/A Am Dm/A Am A5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 Dm/A Dm/A Am Dm/A Am Dm/A Am Dm/A Am A5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 Dm/A Dm/A Am Dm/A Am Dm/A Am Dm/A Am Dm/A Am Dm/A Am Am Dm/A Am F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 F#5 E5 A5 B5 F#5 E5 A5 A#5 B5 E5 Dm/A Dm/A Am E5 A5 A#5 B5 F#5"	"My Friend Of Misery Tab by Metallica - E-Chords"	"cifra/idmusica/61225/keyb/true.htm"
"A B C B Em A B G C B A B C B Em A B"	"No Leaf Clover Tab by Metallica - E-Chords"	"cifra/idmusica/16267/keyb/true.htm"
