"A A Bm E A Bb Bm E Dmaj7 C#m Bm E Amaj7 C#m E A Bb Bm E A Bb Bm E Dmaj7 C#m Bm E Amaj Dmaj7 C#m E A Bm Dmaj7 Bm E A A/C# A/D A Bm Dmaj7 Bm E F# Bm E A A Bb Bm E A Bb Bm E Dmaj7 C#m Bm E A Dmaj7 C#m Esus4 E A Bm Dmaj7 Bm E A A/C# A/D A Bm Dmaj7 Bm E F# Bm E A A Bm Dmaj7 Bm E A A/C# A/D A Bm Dmaj7 Bm E F# Bm E A A A A A"	"Say What You Will Tab by Eric Clapton - E-Chords"	"cifra/idmusica/138074/keyb/true.htm"
"A A D A D E A D E A A D E A A D A D E A D E A A D E A A D A D E A D E A A D E A"	"Lay Down Sally Tab by Eric Clapton - E-Chords"	"cifra/idmusica/6794/keyb/true.htm"
"A A E D A E A D A E D A E A E D A E A D A E D A E A E D A E A D A E D A E A E D A E A D A E D A E"	"Key To The Highway Tab by Eric Clapton - E-Chords"	"cifra/idmusica/19024/keyb/true.htm"
"A Bm G D G D A A Bm G D G D A D G D A G D A G D A G D A A Bm G D G D A A Bm G D G D A D G D A G D A G D A G D A G D A G D A G D A G D A D G A A Bm G D G D A A Bm G D G D A D G D A G D A G D A G D A D"	"No abilis Tab by Eric Clapton - E-Chords"	"cifra/idmusica/82890/keyb/true.htm"
"A C#7 F#m D A E7 A E7 A D C# D A E D E7 F#m C#7 D A F#m C#7 D E7 A C#7 F#m D A C#7 F#m D"	"Watch out for Lucy Tab by Eric Clapton - E-Chords"	"cifra/idmusica/6778/keyb/true.htm"
"A C#m7 D E A C#m7 D E Fº F#m F#m F#m7+ F#m7 F#m6 D E Fº D E A C#m7 D E A C#m7 D E Fº A C#m D E"	"I Ain't Gonna Stand For It Tab by Eric Clapton - E-Chords"	"cifra/idmusica/48876/keyb/true.htm"
"A C#m7 D E A C#m7 D E Fº F#m F#m F#m7+ F#m7 F#m6 D E Fº D E A C#m7 D E A C#m7 D E Fº A C#m D E"	"I Ain't Gonna Stand For It Tab by Eric Clapton - E-Chords"	"cifra/idmusica/48876/keyb/true.htm"
"A D7 A E D7 A E A D7 A E D7 A E A D7 A E D7 A E A D7 A E D7 A"	"Crossroads Tab by Eric Clapton - E-Chords"	"cifra/idmusica/6789/keyb/true.htm"
"A D A E F#m D A D A E F#m D A D A E F#m D A E A A D A E F#m D A D A E F#m D A D A E F#m D A E A A D A E F#m D A D A E F#m D A"	"Golden Ring Tab by Eric Clapton - E-Chords"	"cifra/idmusica/79684/keyb/true.htm"
"A E/G# F#m F#m/E D/F# E7 A A E/G# F#m F#m/E D/F# A E E6 E7 A A E/G# F#m7 F#m/E D/F# A E E6 E7 F#m F#m C# A7 F# E F# Bm7 D/F# E7 A A E/G# F#m F#m/E D/F# E7 A A E/G# F#m F#m/E D/F# A E E6 E7 A A E/G# F#m F#m/E D/F# A E E6 E7 F#m F#m C# A7 F# E F# Bm7 D/F# E7 A A E/G# F#m F#m/E D/F# E7 A C Bm7 Am D7 G D/F# Em D/F# G C Bm7 Am D7 G D/F# E E6 E7 A E/G# F#m F#m/E D/F# A E E6 E7 A E/G# F#m F#m/E D/F# A E E6 E7 F#m F#m C# A7 F# E F# Bm7 D/F# E7 A A E/G# F#m F#m/E D/F# E7 A A E/G# F#m F#m/E D/F# A E E6 E7 A A E/G# F#m F#m/E D/F# A E E6 E7 F#m F#m C# A7 F# E F# Bm7 D/F# E7 A A E/G# F#m F#m/E D/F# E7 A"	"Tears in Heaven (ver.3) Tab by Eric Clapton - E-Chords"	"cifra/idmusica/53192/keyb/true.htm"
